name,Image_URL,information,location,visiting_date,tickets,type
"
        Sabil-Kuttab Um ‘Abbas
    ","https://egymonuments.gov.eg/media/2903/sabil-om-abbas.jpg?center=0.5,0.50617283950617287&mode=crop&width=645&height=423&rnd=132463642000000000","Sabil-Kuttab Um ‘Abbas is situated in al-Saliba street, in Cairo’s Qal’a District. It was named after its patron, Mrs. Banba Kaden bint ‘Abdallah al-Bayda in 1284 AH/1867 AD as a waqf for her late son ‘Abbas Helmi I (1280–1296 AH/1863–1879 AD), the governor of Egypt and cousin of Khedive Isma’il Pasha.           The Sabil-Kuttab historically functioned as a public water fountain surmounted or annexed by a school, and Um ‘Abbas’ Sabil-Kuttab counts among the most exquisite of the structures on al-Saliba Street. Decorated in marble floral designs, the architecture was inspired by European Rococo designs. It is a testament to the sophisticated hydraulic system of nineteenth-century Cairo.           It was mainly the Holy Quran that was taught to children in the Kuttab. Graffiti on the walls in Arabic and Turkish dialects commemorate this classroom environment. One inscription in particular is signed off by the calligrapher ‘Abdallah al-Zuhdi al-Nabulsi.  ","

 
 
 
 Al-Saliba Street
 
 
",24 hours daily,free,monuments
"
        The Takeyya Mawlawiyya Madrasa-Mausoleum of Amir Sunqur al-Sa'di
    ","https://egymonuments.gov.eg/media/3367/10.jpg?crop=0,0.0033012210836349224,0,0&cropmode=percentage&width=645&height=423&rnd=132934555450000000","The Mawlawiyya Takiyya was originally a madrasa, established by Prince Shams al‑Din Sunqur al‑Sa’di in 721 AH / 1321 AD on Siufiyya Street. In 745 AH / 1344 AD, it became more commonly known as the dome of Shaykh Hasan Sadaqah al‑Sharabishi. The school’s plan consists of an open courtyard, of which only a water fountain survives. The court is surrounded by the remains of small Ottoman‑style rooms which were reserved for students. The Mawlawiyya Takiyya itself was established in 1005 AH / 1595 AD, and served as a hospice for the poor. Its façade was distinguished by a fusion of Mamluk and Ottoman styles. The takiyya became a place of residence for Sufi dervishes of the Mawlawi (Mevlevi) order starting the seventeen century, after which it moved to another location.           The most important characteristic of the The Mawlawiyya Takiyya is the dome of its ceiling, which is built on twelve wooden pillars. The structure has two floors: the ground floor contains eight rooms with wooden ceilings, and the second contains eight different rooms of different sizes and purposes.           The Dervish stage, built in 1810 AD, is dedicated to Mawlawi gatherings of dhikr, ”supplication to god”. It is composed of a circular wooden platform surrounded by a wooden handrail which has two doors. Here the dervishes perform circular movements as a form of dhikr. The second floor above this space is reserved for guests and women, and is reached by means of a wooden staircase.  ","

 
 
 
 Al-Saliba Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 30 / Student: EGP 15
EGYPTIANS/ARABS:
Adults: EGP 10 / Student: EGP 5
 
",monuments
"
        Church of Saint Sergius and Bacchus
    ",https://egymonuments.gov.eg/media/1385/_mg_0134.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936333920000000,"The Church of Saint Sergius and Bacchus, also known as Abu Serga, is built upon an ancient Roman fort in Old Cairo. The history of the church is still being debated. Some scholars believe that it dates to the late fourth to early fifth centuries AD, while others believe that it should approximately be dated to 17th century AD.          This church has acquired a special religious status among Coptic churches because it is associated with the Holy Family's journey through Egypt. It is named after renowned early fourth century AD saints, Sergius and Bacchus, both of whom were martyred at al-Resafa in Syria for their Christian beliefs.           Like various other early Christian churches, the Church of Abu Serga and its underground cave are designed in the basilica layout, and thus together consist of three parts: the narthex, nave, and sanctuary (the cave being below the sanctuary). The church is characterized by its unique architectural and artistic elements that reflect the spirit of Coptic church architecture in Egypt. These include the pulpit, baptismal font, inlaid ivory and wood templon, and unique religious decoration of the saints and apostles decorating the various domes, walls and columns.  ","

 
 
 
 Al-Fustat (Old Cairo)
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Ben ‘Ezra Synagogue
    ","https://egymonuments.gov.eg/media/1388/226262_211055892249791_100000361448026_713163_6816698_n.jpg?center=0.7151515151515152,0.5161290322580645&mode=crop&width=645&height=423&rnd=132936382470000000","Ben ‘Ezra Synagogue is the oldest synagogue in Egypt. It was once the center of many celebrations, congregations and prayers, but is no longer in use today. The origin of the building is uncertain. Some believe that it was once a Coptic Orthodox Church that was sold to members of Egypt’s Jewish community in 882 AD. The synagogue is named after Abraham ibn ‘Ezra, the Jewish religious scholar and philosopher.
Ben ‘Ezra contains all the main features of a synagogue. The bimah, or pulpit, from which prayers were read is in its center. The most sacred feature of a synagogue, the hekhal, which marks the direction of prayer, is decorated in Arabesque style and inlaid with mother of pearl, displaying a merge of artistic traditions. The Ten Commandments are inscribed on it in Hebrew.           Every synagogue keeps a geniza, a repository for old documents mentioning the name of God, which could not be simply discarded. Ben ‘Ezra’s was especially large. It had accumulated documents over a span of 850 years. This treasure of historical documents was discovered by Europeans in 1888, and is now housed in libraries around the world. The Cairo Geniza, as it is known today, includes many rare and previously unknown documents.   ","

 
 
 
 Al-Fustat (Old Cairo)
 
 
",24 hours daily,free,monuments
"
        The Mosque of ‘Amr ibn al-‘As
    ",https://egymonuments.gov.eg/media/1254/dsc_0840-copy.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132463663690000000,"The mosque of ‘Amr ibn al-‘As is the oldest surviving mosque in Egypt and Africa. General ʿAmr ibn al-ʿAs (d. 664) was one of the first companions of the Prophet Muhammad. After conquering Egypt in 19 AH/640 AD, he founded its first Islamic capital, Fustat, which falls within the modern city of Cairo. A year later, by order of the Caliph ‘Umar ibn al-Khattab, he also founded the eponymous mosque of ‘Amr ibn al-‘As, which thus became the new capital’s very first building. During the early years following the conquest, the mosque served as a place of gathering for Muslim community and ‘Amr’s troops, which at the time remained a minority in Egypt. Several of the Prophet’s companions assisted in the building’s construction, including al-Zubayr ibn al-‘Awam and Ubada ibn al-Samit. The structure was subjected to several episodes of destruction, and has therefore undergone many architectural changes throughout its lifetime, such that very little of the original survives today. What currently stands in Old Cairo is the mosque’s twentieth century reconstruction. However, it remains true to the modesty of Islamic architecture in its earliest form, evolving from a shed with palm-tree columns to the elegant arcade halls that still house prayers to this day.  ","

 
 
 
 Al-Fustat (Old Cairo)
 
 
",24 hours daily,free,monuments
"
        Rawda Island Nilometer
    ","https://egymonuments.gov.eg/media/3406/img-20190725-wa0024.jpg?center=0.26666666666666666,0.48888888888888887&mode=crop&width=645&height=423&rnd=132934568190000000","Before the construction of the Aswan High Dam in the 1960s, the Nile used to flood annually, submerging the fields on either side of it, and depositing the rich nutrients that it had brought with it. If the flood was too high, the water would cause destruction, and would also eventually recede late in the year, disrupting the agricultural cycle. If it was too low, the soil would not be resupplied with nutrients, and agriculture would be impossible. Both outcomes could result in food shortages, or even famine. Nilometers, as their name suggests, were used to measure flood levels so that dykes, levees, and canals could be prepared accordingly. Flood levels affected agricultural productivity, so another major purpose of Nilometers was to set taxation levels. Built on the order of the Abbasid Caliph al-Mutawakkil in 247 AH/861 AD, the Nilometer on Rawda Island is one of the oldest in Egypt. It is also the oldest structure built after the Arab conquest (20 AH/641 AD) that survives in its original form. The annual seven‑day celebration of the Nile flood, which took place from the medieval period down to the end of the nineteenth century, was attended by the sultan himself along with his senior officials. The Rawda Island Nilometer consists of a marble octagonal column 19 cubits in length in the middle of a stone-lined well that is rectangular at the top, and circular at the bottom. Quranic texts relating to water, vegetation, and prosperity are carved on the walls of the well, as are measuring marks, which were used to determine the height of the flood as the water rose through the well. A stairway spirals down to the bottom. ","

 
 
 
 Al-Fustat (Old Cairo)
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 40 / Student: EGP 20
EGYPTIANS/ARABS:
Adults: EGP 20 / Student: EGP 10
 
",monuments
"
        Monastery of the Syrians 
    ","https://egymonuments.gov.eg/media/2368/p1180579.jpg?center=0.43564356435643564,0.53333333333333333&mode=crop&width=645&height=423&rnd=132239961370000000","The Monastery of the Syrians, also known as the al-Surian, is one of the four surviving monasteries in Wadi Natrun situated in an area of the Western Desert. Its valuable collection is a beacon for visitors, who come in reverence to admire its rare relics for their artistic qualities           Currently, it is the smallest surviving monastery of Wadi Natrun and is the most famous amongst clergymen and scholars around the world. Although the monastery’s foundations date back to the fourth century AD, it is known as the Monastery of the Syrians because of a group of al-Surian monks who settled in Wadi Natrun in 984 AD.           The monastery includes a number of monumental buildings including a fortress, a group of monastic cells, and three large churches named the Virgin Mary, the Cave of Virgin Mary, the Church of Archangel Michael.           The Church of the Virgin Mary is the monastery’s main church. Built in 645 AD, it is also its oldest building after the Cave of Anba Bishoy to its west, and features beautiful engravings covering its walls, doors, and domes. In 1994, a team of researchers from the University of Leiden examining the plaster layers covering the walls of the church discovered many frescos (wall paintings) from the seventh to eighteenth centuries AD. Among the depictions are the birth and death of the Virgin Mary, and Jesus Christ carrying her soul.           An extensive and rare collection of Syriac manuscripts was discovered in the monastery’s library during the nineteenth century. This unparalleled collection, currently housed in the Vatican Library and other institutions, includes some of the oldest Greek texts by Aristotle, Euclid, and Hippocrates.","

 
 
 
 Wadi Natrun
 
 
",24 hours daily,free,monuments
"
        The Church of the Burning Bush
    ",https://egymonuments.gov.eg/media/2637/dsc_0109.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936374080000000,"According to Scripture, God commanded Moses to lead the Israelites out of Egypt by speaking to him from a bush which, although on fire, was unaffected by the flames. Empress Helena, the mother of Constantine the Great (272–337 AD), the first Roman emperor to convert to Christianity, built a church on the site of the Burning Bush in the 4th century AD. It was later rebuilt by Emperor Justinian I (527–565 AD), who included it within the much larger church that he built, the Church of the Transfiguration of Christ the Savior. A small altar on a marble floor marks the location of the Burning Bush, directly above its roots. A large bush, which used to be inside the church, thrives to this day, just on the other side of the wall behind the altar.    ","

 
 
 
 Saint Catherine’s Monastery
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 140 / Student: EGP 70

EGYPTIANS/ARABS:
Adult: EGP 20 / Student: EGP 10
 
",monuments
"
        The Library of Saint Catherine’s Monastery
    ",https://egymonuments.gov.eg/media/2640/dsc_0093.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936369380000000,"The library of Saint Catherine’s Monastery, with its rare books and manuscripts, is one of the most important of all libraries attached to any monastery. It is located in an old building to the south of the Church of the Transfiguration of Christ the Savior, and contains around 6,000 manuscripts on various topics, including religion, history, geography, and philosophy, the oldest of which dates to the 4th century AD. The library’s collection of manuscripts features many languages, including 2,319 are in Greek, 600 in Arabic, 284 in Latin, 86 in Georgian.             A project to conserve the library, completed in November 2017, brought to light a 5th–6th century ADGreek medical manuscript which included excerpts from the works of Hippocrates, as well as those of an anonymous, hitherto unknown, author.   ","

 
 
 
 Saint Catherine’s Monastery
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        The Fatimid Mosque
    ","https://egymonuments.gov.eg/media/2641/ghhgh.jpg?crop=0,0.17349498327759197,0,0.38783347592751027&cropmode=percentage&width=645&height=423&rnd=132936368870000000","The Fatimid mosque in Saint Catherine’s Monastery, built in 500 AH/1106 AD during the reign of the Fatimid Caliph al-Amir bi-Ahkam Allah, was the fruit of the harmonious relationship between Muslims and Christians. The Fatimid Caliphate witnessed the peak of this relationship, and the caliphs of the period worked tirelessly to build mosques in sacred locations. The Fatimid mosque in Saint Catherine’s Monastery became a stop for pilgrims on their way to Mecca, many of whose writings can still be seen on its mihrab to this day.             The mosque lies in the north-western sector of Saint Catherine’s Monastery, opposite the Church of the Transfiguration of Christ the Savior, its principal church, such that its minaret stands side-by-side with the church’s steeple, in a perfect symbol of religious harmony. The mosque features several semi-circular vaults and three mihrabs. The mihrab is a semi-circular recess in the wall of a given mosque that indicates the qibla, the direction of the Kaaba in Mecca, which Muslims face during prayer. The principal mihrab is similar in its design to the one in the oldest section of al-Azhar mosque, and has a beautiful minbar, or pulpit, one of only three complete surviving examples from the Fatimid Period.   ","

 
 
 
 Saint Catherine’s Monastery
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Bagawat Cemetery
    ",https://egymonuments.gov.eg/media/2360/img_0182.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132934596460000000,"Bagawat, near Kharga Oasis, is one of the oldest Christian cemeteries. The 263 known burials range from simple one-chamber structures to elaborate family mausoleums. Built over an ancient Egyptian cemetery, the style of the chapels fuses both Pharaonic and Christian elements. The cemetery began during the 4th century AD, and continued to be in use to the 11th century.             Early Christian burials continued the now-iconic ancient Egyptian tradition of using coffins and burying the deceased with burial goods. These were placed on shelves in pits dug under the chapels. Mummification was practice in this cemetery long after it had died out in the Nile valley.           The Chapel of the Exodus is one of the earliest in the cemetery. The interior of its dome is decorated in two bands illustrating scenes from the Old Testament. Perhaps the most striking of these shows the Exodus—hence the chapel’s name—with Moses leading the Israelites through the Sinai desert, as Pharaoh’s army gives chase. Other scenes depict Adam and Eve, Noah’s Ark, Daniel in the lion’s den, Jonah and the whale, as well as several other episodes from the Old Testament.           Similar themes are depicted on the dome of the Chapel of Peace, including the Annunciation of the Virgin Mary and others. Greek captions identify the scene that is depicted. The interior walls are also painted with many Byzantine frescoes of grape vines, peacocks, allegorical figures, and inscriptions.           Numerous Arabic graffiti dating from the 9th century to the present day can be seen in some of the chapels, including some by Turkish soldiers who are believed to have been garrisoned at Bagawat in the late 18th century.","

 
 
 
 New Valley Governorate (El Wadi El Gedid Governorate)
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 50/ StudentS: EGP 25

EGYPTIANS/ ARABS:
Adult: EGP 10/ Students: EGP 5
 
",monuments
"
        Mosque, Madrasa, and Khanqa of Sultan Barquq
    ","https://egymonuments.gov.eg/media/3352/%D8%A7%D9%84%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9.jpg?center=0.38461538461538464,0.42335766423357662&mode=crop&width=645&height=423&rnd=132934593110000000","The madrasa and khanqa of Sultan Barquq is located on al-Mu’izz street and is known as the Zahiriya school. King Zahir Abu Sa’id Barquq ordered its construction, which began in 786 AH / 1384 AD. Its inauguration took place two years later, in 788 AH / 1386 AD. This madrasa lies in the middle of one of the world’s largest architectural heritage complexes. A charitable foundation was established here by al-Nasir Muhammad ibn Qalawun for his madrasa. The school itself taught the four Islamic legal schools and contained a mosque and a Sufi khanqa. A domed shrine inside the structure serves as the burial place of his father and of some of his wives and children. The building, with its many exquisite architectural and decorative elements, is an architectural marvel. It is composed of an open court, four iwans, the largest of which is the one on the side of the direction for prayer. It contains a marble mihrab, a wooden pulpit, a stand for the Qur’an, and a prayer platform (dikka). The establishment was also equipped with several branch-schools, wings for Sufis, rooms for students, a kitchen, and a washroom. The building’s façade is surmounted by a minaret and a dome that has been restored by the Assembly for the Preservation of Arab Antiquities in 1310 AH / 1892 AD. The madrasa of Sultan Barquq is characterized by inscriptions from the Qur’an in the naskh script, a foundation inscription, the marble panels and marvellously decorated ceiling of the largest iwan.                                                                                       ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Madrasa and Khanaqah of Sultan al-Zahir Barquq
    ","https://egymonuments.gov.eg/media/7428/01.jpg?center=0.50246305418719217,0.50370370370370365&mode=crop&width=645&height=423&rnd=132936330800000000","It was established by King Al-Zahir Abu Saeed Barquq bin Anas between the years (786-788 AH/1384-1386 AD). . It was used as a school to teach the four sects, a mosque and a Sufi khanqa, with a mausoleum dome in which his father and a number of his wives and sons were buried. The school consists of an open courtyard and four iwans, the largest of which is to the southeast, with a marble mihrab, a wooden pulpit, the Qur’an chair, and the bench of the rebeater,A mausoleum dome, secondary schools, Sufi classes, rooms for students, a kitchen, a toilet, and a cowshed were attached to  facility to serve the residents of the rooms. Above the entrance facade is a domed minaret that has been renovated from a picture drawn by a traveler. The facility is a wonderful architectural masterpiece with all its architectural and decorative elements. The facility distinguishes the cursive texts from Quranic verses, the name of the originator, the date of construction, the colored marble cladding, and the qibla roof with its magnificent decorations.","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
"," Egyptian: 10 EGP / Egyptian student: 5 EGP
Foreigner: 100 pounds / foreign student: 50 pounds
",monuments
"
        Sabil-Kuttab of Abd al-Rahman Katkhuda
    ",https://egymonuments.gov.eg/media/1298/13.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132756712440000000,"This Sabil is located at the intersection of Al-Mu’iz and Tambakshiya streets. Prince Abd al-Rahman Katkhuda al-Qazdagli, and Ottoman military man, established it in 1157 AH / 1744 AD. Prince Katkhuda was interested in constructing various buildings in Cairo. The sabil consists of the rectangular sabil room and its three facades. Each façade had a copper window and was fronted on the outside with marble basins for drinking. The Sabil’s interior walls were paneled with ceramic tiles (faience) decorated with various ottoman floral motifs.  Some tiles bear an illustration of the Great Mosque in Mecca and verses from the Quran. Above the sabil was a school dedicated to teaching Muslim orphans the Holy Qur’an and the prophetic traditions. The entrance door is surmounted by an inscription consisting of verses of poetry, the name of the founder and the date of completion. There is also a square space inside in which the names of the ‘sleepers of the cave’ were carved and encircled. ","

 
 
 
 Al-Mu'izz Street
 
 
",24 hours daily,free,monuments
"
        Madrasa and Mausoleum of al-Saleh Najm al-Din Ayyub
    ",https://egymonuments.gov.eg/media/1233/%D9%82%D8%A8%D8%A9-%D8%A7%D9%84%D8%B5%D8%A7%D9%84%D8%AD-%D9%86%D8%AC%D9%85-%D8%A7%D9%84%D8%AF%D9%8A%D9%86-%D8%A7%D9%8A%D9%88%D8%A8.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936329260000000," This is one of the most important architectural installations daring to the Ayyubid period.  It is located between al-Qasrayn  (“the two palaces) on Al-Mu’izz Street. Built in the year 641 AH / 1243 AD, it became known as the Salhiyya Madrasa, referring to its eponym Sultan Al-Malik Al-Salih Najm Al-Din Ayyub. The madrasa taught the four Sunni jurisprudence schools, replacing the Shi’ite curriculum that had been in place under the Fatimid Dynasty. Each of the four jurisprudence schools has its own allocated area inside the madrasa. This was the first institution of its kind to teach all four of the jurisprudence schools. One of the madrasa’s most important features is its main façade and distinctive minaret above the entrance. Only the western iwan, in which the Malik madhhab was taught, survives. The Mausoleum was built in 647AH\ 1249 AD by Shajarat al-Dur, wife of Sultan Najm al-Din Ayyub, she commissioned the structure for her husband following his death in the battle against the Crusaders in Mansura. He was buried in al-Rawda Citadel and later removed to the mausoleum when it was completed in 648 AH\ 1250 AD.  The dome has one main façade with an entrance overlooking al-Mu’izz Street. A plaque above the main entrance records the date of the Sultan’s death. The wooden cabin inside the dome is a good example of Ayyubid wooden antiques.   ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
